"","clust_cat_mec","characteristic"
"1",1,"Area Control / Area Influence, Auction/Bidding, Hand Management, Set Collection, Medieval, Card Drafting, Territory Building"
"2",2,"Card Game, Humor, Fighting, Science Fiction, Fantasy, Deck / Pool Building, Collectible Components"
"3",3,"Abstract Strategy, Tile Placement, Hand Management, Medieval, Fantasy, Variable Player Powers, Simultaneous Action Selection"
"4",4,"Set Collection, Auction/Bidding, Animals, Pick-up and Deliver, Simultaneous Action Selection, Transportation, Expansion for Base-game"
"5",5,"Economic, Auction/Bidding, Set Collection, Card Game, Card Drafting, Commodity Speculation, Fantasy"
"6",6,"Dice Rolling, Racing, Fighting, Movies / TV / Radio theme, Sports, Modular Board, Roll / Spin and Move"
"7",7,"Modular Board, Area Control / Area Influence, Racing, Worker Placement, Fantasy, Exploration, Adventure"
"8",8,"Tile Placement, City Building, Modular Board, Area Control / Area Influence, Territory Building, Economic, Set Collection"
"9",9,"Card Game, Hand Management, Fantasy, Dice Rolling, Dice, Card Drafting, Variable Player Powers"
"10",10,"Hand Management, Set Collection, Card Game, Card Drafting, Expansion for Base-game, Economic, Trading"
"11",11,"Wargame, Science Fiction, Dice Rolling, Hex-and-Counter, Area Movement, Expansion for Base-game, Miniatures"
"12",12,"Roll / Spin and Move, Trivia, Set Collection, Memory, Real-time, Deduction, Puzzle"
"13",13,"Hand Management, Fantasy, Simultaneous Action Selection, Racing, Variable Player Powers, Set Collection, Modular Board"
"14",14,"Dice Rolling, Dice, Fighting, Expansion for Base-game, Press Your Luck, Fantasy, Variable Player Powers"
"15",15,"Deduction, Bluffing, Action / Dexterity, Murder/Mystery, Memory, Co-operative Play, Secret Unit Deployment"
"16",16,"Expansion for Base-game, Area Movement, Variable Player Powers, Wargame, Area Control / Area Influence, Science Fiction, Action Point Allowance System"
"17",17,"Adventure, Fantasy, Dice Rolling, Exploration, Fighting, Variable Player Powers, Modular Board"
"18",18,"Wargame, Dice Rolling, Point to Point Movement, Hex-and-Counter, Campaign / Battle Card Driven, Fantasy, Miniatures"
"19",19,"Wargame, Hex-and-Counter, Expansion for Base-game, Dice Rolling, Science Fiction, Variable Player Powers, Ancient"
"20",20,"Card Game, Bluffing, Card Drafting, Deduction, Simultaneous Action Selection, Animals, Memory"
"21",21,"Variable Player Powers, Adventure, Dice Rolling, Fantasy, Co-operative Play, Expansion for Base-game, Modular Board"
"22",22,"Abstract Strategy, Point to Point Movement, Action / Dexterity, Area Enclosure, Racing, Area Movement, Set Collection"
"23",23,"Economic, Worker Placement, Set Collection, Expansion for Base-game, Industry / Manufacturing, Area Control / Area Influence, Card Drafting"
"24",24,"Card Game, Trick-taking, Real-time, Pattern Building, Betting/Wagering, Educational, Trivia"
"25",25,"Hand Management, Card Game, Movies / TV / Radio theme, Humor, Science Fiction, Expansion for Base-game, Take That"
"26",26,"Abstract Strategy, Grid Movement, Modular Board, Area Control / Area Influence, Animals, Tile Placement, Pattern Building"
"27",27,"Party Game, Abstract Strategy, Pattern Building, Partnerships, Trivia, Word Game, Acting"
"28",28,"Hand Management, Card Game, Card Drafting, Set Collection, Bluffing, Animals, Auction/Bidding"
"29",29,"Card Game, Party Game, Humor, Hand Management, Bluffing, Expansion for Base-game, Simultaneous Action Selection"
"30",30,"Dice Rolling, Simulation, World War II, Wargame, Hex-and-Counter, Bluffing, Partnerships"
"31",31,"Wargame, Dice Rolling, World War II, Hex-and-Counter, Area Movement, Miniatures, Campaign / Battle Card Driven"
"32",32,"World War II, Wargame, Hex-and-Counter, Expansion for Base-game, Simulation, Modular Board, Dice Rolling"
"33",33,"Children's Game, Animals, Roll / Spin and Move, Set Collection, Dice Rolling, Trading, Auction/Bidding"
"34",34,"Card Game, Set Collection, Children's Game, Auction/Bidding, Animals, Memory, Bluffing"
"35",35,"Dice, Dice Rolling, Roll / Spin and Move, Movies / TV / Radio theme, Racing, Fantasy, Expansion for Base-game"
"36",36,"Action / Dexterity, Party Game, Children's Game, Roll / Spin and Move, Trivia, Humor, Real-time"
"37",37,"Children's Game, Roll / Spin and Move, Memory, Economic, Set Collection, Fantasy, Racing"
"38",38,"Tile Placement, Expansion for Base-game, Economic, Route/Network Building, Trains, Set Collection, Transportation"
"39",39,"Tile Placement, Expansion for Base-game, Card Game, Trains, Auction/Bidding, Abstract Strategy, Route/Network Building"
"40",40,"Card Game, Hand Management, Fantasy, Variable Player Powers, Fighting, Card Drafting, Deck / Pool Building"
"41",41,"Wargame, Hex-and-Counter, Modern Warfare, Napoleonic, American Civil War, Dice Rolling, Expansion for Base-game"
"42",42,"Wargame, Dice Rolling, Hex-and-Counter, Simulation, World War I, American Civil War, Modern Warfare"
"43",43,"Dice Rolling, Miniatures, Variable Player Powers, Fighting, Fantasy, Wargame, Science Fiction"
"44",44,"Dice Rolling, Dice, Set Collection, Children's Game, Press Your Luck, Party Game, Animals"
"45",45,"World War II, Hex-and-Counter, Wargame, Fighting, Paper-and-Pencil, Variable Phase Order, Fan Expansion"
"46",46,"Simulation, Wargame, Hex-and-Counter, Modern Warfare, Napoleonic, American Civil War, World War I"
"47",47,"Card Game, Expansion for Base-game, Hand Management, Deck / Pool Building, Card Drafting, Fantasy, Science Fiction"
"48",48,"Card Game, Expansion for Base-game, Hand Management, Variable Player Powers, Fantasy, Fighting, Dice Rolling"
"49",49,"Variable Player Powers, Fighting, Expansion for Base-game, Dice Rolling, Fantasy, Hand Management, Card Game"
"50",50,"Dice Rolling, Miniatures, Modular Board, Expansion for Base-game, Variable Player Powers, Fantasy, Fighting"
